index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,0.52,0.64,-0.12,-18.75,74390600
29,2023-06-01,USD,0.52,0.64,-0.12,-18.75,74390600
30,2023-05-31,USD,0.52,0.64,-0.12,-18.75,74390600
31,2023-05-30,USD,0.52,0.64,-0.12,-18.75,74390600
32,2023-05-29,USD,0.52,0.64,-0.12,-18.75,74390600
33,2023-05-28,USD,0.52,0.64,-0.12,-18.75,74390600
34,2023-05-27,USD,0.52,0.64,-0.12,-18.75,74390600
35,2023-05-26,USD,0.52,0.64,-0.12,-18.75,74390600
36,2023-05-25,USD,0.52,0.64,-0.12,-18.75,74390600
37,2023-05-24,USD,0.52,0.64,-0.12,-18.75,74390600
38,2023-05-23,USD,0.52,0.64,-0.12,-18.75,74390600
39,2023-05-22,USD,0.52,0.64,-0.12,-18.75,74390600
40,2023-05-21,USD,0.52,0.64,-0.12,-18.75,74390600
41,2023-05-20,USD,0.52,0.64,-0.12,-18.75,74390600
42,2023-05-19,USD,0.52,0.64,-0.12,-18.75,74390600
43,2023-05-18,USD,0.52,0.64,-0.12,-18.75,74390600
44,2023-05-17,USD,0.52,0.64,-0.12,-18.75,74390600
45,2023-05-16,USD,0.52,0.64,-0.12,-18.75,74390600
46,2023-05-15,USD,0.52,0.64,-0.12,-18.75,74390600
47,2023-05-14,USD,0.52,0.64,-0.12,-18.75,74390600
48,2023-05-13,USD,0.52,0.64,-0.12,-18.75,74390600
49,2023-05-12,USD,0.52,0.64,-0.12,-18.75,74390600
50,2023-05-11,USD,0.52,0.64,-0.12,-18.75,74390600
51,2023-05-10,USD,0.52,0.64,-0.12,-18.75,74390600
52,2023-05-09,USD,0.52,0.64,-0.12,-18.75,74390600
53,2023-05-08,USD,0.52,0.64,-0.12,-18.75,74390600
54,2023-05-07,USD,0.52,0.64,-0.12,-18.75,74390600
55,2023-05-06,USD,0.52,0.64,-0.12,-18.75,74390600
56,2023-05-05,USD,0.52,0.64,-0.12,-18.75,74390600
57,2023-05-04,USD,0.52,0.64,-0.12,-18.75,74390600
58,2023-05-03,USD,0.52,0.64,-0.12,-18.75,74390600
59,2023-05-02,USD,0.52,0.64,-0.12,-18.75,74390600
60,2023-05-01,USD,0.52,0.64,-0.12,-18.75,74390600
61,2023-04-30,USD,0.52,0.64,-0.12,-18.75,74390600
62,2023-04-29,USD,0.52,0.64,-0.12,-18.75,74390600
63,2023-04-28,USD,0.52,0.64,-0.12,-18.75,74390600
64,2023-04-27,USD,0.52,0.64,-0.12,-18.75,74390600
65,2023-04-26,USD,0.52,0.64,-0.12,-18.75,74390600
66,2023-04-25,USD,0.52,0.64,-0.12,-18.75,74390600
67,2023-04-24,USD,0.52,0.64,-0.12,-18.75,74390600
68,2023-04-23,USD,0.52,0.64,-0.12,-18.75,74390600
69,2023-04-22,USD,0.52,0.64,-0.12,-18.75,74390600
70,2023-04-21,USD,0.52,0.64,-0.12,-18.75,74390600
71,2023-04-20,USD,0.52,0.64,-0.12,-18.75,74390600
72,2023-04-19,USD,0.52,0.64,-0.12,-18.75,74390600
73,2023-04-18,USD,0.52,0.64,-0.12,-18.75,74390600
74,2023-04-17,USD,0.52,0.64,-0.12,-18.75,74390600
75,2023-04-16,USD,0.52,0.64,-0.12,-18.75,74390600
76,2023-04-15,USD,0.52,0.64,-0.12,-18.75,74390600
77,2023-04-14,USD,0.52,0.64,-0.12,-18.75,74390600
78,2023-04-13,USD,0.52,0.64,-0.12,-18.75,74390600
79,2023-04-12,USD,0.52,0.64,-0.12,-18.75,74390600
80,2023-04-11,USD,0.52,0.64,-0.12,-18.75,74390600
81,2023-04-10,USD,0.52,0.64,-0.12,-18.75,74390600
82,2023-04-09,USD,0.52,0.64,-0.12,-18.75,74390600
83,2023-04-08,USD,0.52,0.64,-0.12,-18.75,74390600
84,2023-04-07,USD,0.52,0.64,-0.12,-18.75,74390600
85,2023-04-06,USD,0.52,0.64,-0.12,-18.75,74390600
86,2023-04-05,USD,0.52,0.64,-0.12,-18.75,74390600
87,2023-04-04,USD,0.52,0.64,-0.12,-18.75,74390600
88,2023-04-03,USD,0.52,0.64,-0.12,-18.75,74390600
89,2023-04-02,USD,0.52,0.64,-0.12,-18.75,74390600
90,2023-04-01,USD,0.52,0.64,-0.12,-18.75,74390600
91,2023-03-31,USD,0.52,0.64,-0.12,-18.75,74390600
92,2023-03-30,USD,0.64,0.71,-0.07,-9.8592,73060500
93,2023-03-29,USD,0.64,0.71,-0.07,-9.8592,73060500
94,2023-03-28,USD,0.64,0.71,-0.07,-9.8592,73060500
95,2023-03-27,USD,0.64,0.71,-0.07,-9.8592,73060500
96,2023-03-26,USD,0.64,0.71,-0.07,-9.8592,73060500
97,2023-03-25,USD,0.64,0.71,-0.07,-9.8592,73060500
98,2023-03-24,USD,0.64,0.71,-0.07,-9.8592,73060500
99,2023-03-23,USD,0.64,0.71,-0.07,-9.8592,73060500
100,2023-03-22,USD,0.64,0.71,-0.07,-9.8592,73060500
101,2023-03-21,USD,0.64,0.71,-0.07,-9.8592,73060500
102,2023-03-20,USD,0.64,0.71,-0.07,-9.8592,73060500
103,2023-03-19,USD,0.64,0.71,-0.07,-9.8592,73060500
104,2023-03-18,USD,0.64,0.71,-0.07,-9.8592,73060500
105,2023-03-17,USD,0.64,0.71,-0.07,-9.8592,73060500
106,2023-03-16,USD,0.64,0.71,-0.07,-9.8592,73060500
107,2023-03-15,USD,0.64,0.71,-0.07,-9.8592,73060500
108,2023-03-14,USD,0.64,0.71,-0.07,-9.8592,73060500
109,2023-03-13,USD,0.64,0.71,-0.07,-9.8592,73060500
110,2023-03-12,USD,0.64,0.71,-0.07,-9.8592,73060500
111,2023-03-11,USD,0.64,0.71,-0.07,-9.8592,73060500
112,2023-03-10,USD,0.64,0.71,-0.07,-9.8592,73060500
113,2023-03-09,USD,0.64,0.71,-0.07,-9.8592,73060500
114,2023-03-08,USD,0.64,0.71,-0.07,-9.8592,73060500
115,2023-03-07,USD,0.64,0.71,-0.07,-9.8592,73060500
116,2023-03-06,USD,0.64,0.71,-0.07,-9.8592,73060500
117,2023-03-05,USD,0.64,0.71,-0.07,-9.8592,73060500
118,2023-03-04,USD,0.64,0.71,-0.07,-9.8592,73060500
119,2023-03-03,USD,0.64,0.71,-0.07,-9.8592,73060500
120,2023-03-02,USD,0.64,0.71,-0.07,-9.8592,73060500
121,2023-03-01,USD,0.64,0.71,-0.07,-9.8592,73060500
122,2023-02-28,USD,0.64,0.71,-0.07,-9.8592,73060500
123,2023-02-27,USD,0.64,0.71,-0.07,-9.8592,73060500
124,2023-02-26,USD,0.64,0.71,-0.07,-9.8592,73060500
125,2023-02-25,USD,0.64,0.71,-0.07,-9.8592,73060500
126,2023-02-24,USD,0.64,0.71,-0.07,-9.8592,73060500
127,2023-02-23,USD,0.64,0.71,-0.07,-9.8592,73060500
128,2023-02-22,USD,0.64,0.71,-0.07,-9.8592,73060500
129,2023-02-21,USD,0.64,0.71,-0.07,-9.8592,73060500
130,2023-02-20,USD,0.64,0.71,-0.07,-9.8592,73060500
131,2023-02-19,USD,0.64,0.71,-0.07,-9.8592,73060500
132,2023-02-18,USD,0.64,0.71,-0.07,-9.8592,73060500
133,2023-02-17,USD,0.64,0.71,-0.07,-9.8592,73060500
134,2023-02-16,USD,0.64,0.71,-0.07,-9.8592,73060500
135,2023-02-15,USD,0.64,0.71,-0.07,-9.8592,73060500
136,2023-02-14,USD,0.64,0.71,-0.07,-9.8592,73060500
137,2023-02-13,USD,0.64,0.71,-0.07,-9.8592,73060500
