index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,0.51,0.84,-0.33,-39.2857,4353900
29,2023-06-01,USD,0.51,0.84,-0.33,-39.2857,4353900
30,2023-05-31,USD,0.51,0.84,-0.33,-39.2857,4353900
31,2023-05-30,USD,0.51,0.84,-0.33,-39.2857,4353900
32,2023-05-29,USD,0.51,0.84,-0.33,-39.2857,4353900
33,2023-05-28,USD,0.51,0.84,-0.33,-39.2857,4353900
34,2023-05-27,USD,0.51,0.84,-0.33,-39.2857,4353900
35,2023-05-26,USD,0.51,0.84,-0.33,-39.2857,4353900
36,2023-05-25,USD,0.51,0.84,-0.33,-39.2857,4353900
37,2023-05-24,USD,0.51,0.84,-0.33,-39.2857,4353900
38,2023-05-23,USD,0.51,0.84,-0.33,-39.2857,4353900
39,2023-05-22,USD,0.51,0.84,-0.33,-39.2857,4353900
40,2023-05-21,USD,0.51,0.84,-0.33,-39.2857,4353900
41,2023-05-20,USD,0.51,0.84,-0.33,-39.2857,4353900
42,2023-05-19,USD,0.51,0.84,-0.33,-39.2857,4353900
43,2023-05-18,USD,0.51,0.84,-0.33,-39.2857,4353900
44,2023-05-17,USD,0.51,0.84,-0.33,-39.2857,4353900
45,2023-05-16,USD,0.51,0.84,-0.33,-39.2857,4353900
46,2023-05-15,USD,0.51,0.84,-0.33,-39.2857,4353900
47,2023-05-14,USD,0.51,0.84,-0.33,-39.2857,4353900
48,2023-05-13,USD,0.51,0.84,-0.33,-39.2857,4353900
49,2023-05-12,USD,0.51,0.84,-0.33,-39.2857,4353900
50,2023-05-11,USD,0.51,0.84,-0.33,-39.2857,4353900
51,2023-05-10,USD,0.51,0.84,-0.33,-39.2857,4353900
52,2023-05-09,USD,0.51,0.84,-0.33,-39.2857,4353900
53,2023-05-08,USD,0.51,0.84,-0.33,-39.2857,4353900
54,2023-05-07,USD,0.51,0.84,-0.33,-39.2857,4353900
55,2023-05-06,USD,0.51,0.84,-0.33,-39.2857,4353900
56,2023-05-05,USD,0.51,0.84,-0.33,-39.2857,4353900
57,2023-05-04,USD,0.51,0.84,-0.33,-39.2857,4353900
58,2023-05-03,USD,0.51,0.84,-0.33,-39.2857,4353900
59,2023-05-02,USD,0.51,0.84,-0.33,-39.2857,4353900
60,2023-05-01,USD,0.51,0.84,-0.33,-39.2857,4353900
61,2023-04-30,USD,0.51,0.84,-0.33,-39.2857,4353900
62,2023-04-29,USD,0.51,0.84,-0.33,-39.2857,4353900
63,2023-04-28,USD,0.51,0.84,-0.33,-39.2857,4353900
64,2023-04-27,USD,0.51,0.84,-0.33,-39.2857,4353900
65,2023-04-26,USD,0.51,0.84,-0.33,-39.2857,4353900
66,2023-04-25,USD,0.51,0.84,-0.33,-39.2857,4353900
67,2023-04-24,USD,0.51,0.84,-0.33,-39.2857,4353900
68,2023-04-23,USD,0.51,0.84,-0.33,-39.2857,4353900
69,2023-04-22,USD,0.51,0.84,-0.33,-39.2857,4353900
70,2023-04-21,USD,0.51,0.84,-0.33,-39.2857,4353900
71,2023-04-20,USD,0.51,0.84,-0.33,-39.2857,4353900
72,2023-04-19,USD,0.51,0.84,-0.33,-39.2857,4353900
73,2023-04-18,USD,0.51,0.84,-0.33,-39.2857,4353900
74,2023-04-17,USD,0.51,0.84,-0.33,-39.2857,4353900
75,2023-04-16,USD,0.51,0.84,-0.33,-39.2857,4353900
76,2023-04-15,USD,0.51,0.84,-0.33,-39.2857,4353900
77,2023-04-14,USD,0.51,0.84,-0.33,-39.2857,4353900
78,2023-04-13,USD,0.51,0.84,-0.33,-39.2857,4353900
79,2023-04-12,USD,0.51,0.84,-0.33,-39.2857,4353900
80,2023-04-11,USD,0.51,0.84,-0.33,-39.2857,4353900
81,2023-04-10,USD,0.51,0.84,-0.33,-39.2857,4353900
82,2023-04-09,USD,0.51,0.84,-0.33,-39.2857,4353900
83,2023-04-08,USD,0.51,0.84,-0.33,-39.2857,4353900
84,2023-04-07,USD,0.51,0.84,-0.33,-39.2857,4353900
85,2023-04-06,USD,0.51,0.84,-0.33,-39.2857,4353900
86,2023-04-05,USD,0.51,0.84,-0.33,-39.2857,4353900
87,2023-04-04,USD,0.51,0.84,-0.33,-39.2857,4353900
88,2023-04-03,USD,0.51,0.84,-0.33,-39.2857,4353900
89,2023-04-02,USD,0.51,0.84,-0.33,-39.2857,4353900
90,2023-04-01,USD,0.51,0.84,-0.33,-39.2857,4353900
91,2023-03-31,USD,0.51,0.84,-0.33,-39.2857,4353900
92,2023-03-30,USD,0.93,1.06,-0.13,-12.2642,4255900
93,2023-03-29,USD,0.93,1.06,-0.13,-12.2642,4255900
94,2023-03-28,USD,0.93,1.06,-0.13,-12.2642,4255900
95,2023-03-27,USD,0.93,1.06,-0.13,-12.2642,4255900
96,2023-03-26,USD,0.93,1.06,-0.13,-12.2642,4255900
97,2023-03-25,USD,0.93,1.06,-0.13,-12.2642,4255900
98,2023-03-24,USD,0.93,1.06,-0.13,-12.2642,4255900
99,2023-03-23,USD,0.93,1.06,-0.13,-12.2642,4255900
100,2023-03-22,USD,0.93,1.06,-0.13,-12.2642,4255900
101,2023-03-21,USD,0.93,1.06,-0.13,-12.2642,4255900
102,2023-03-20,USD,0.93,1.06,-0.13,-12.2642,4255900
103,2023-03-19,USD,0.93,1.06,-0.13,-12.2642,4255900
104,2023-03-18,USD,0.93,1.06,-0.13,-12.2642,4255900
105,2023-03-17,USD,0.93,1.06,-0.13,-12.2642,4255900
106,2023-03-16,USD,0.93,1.06,-0.13,-12.2642,4255900
107,2023-03-15,USD,0.93,1.06,-0.13,-12.2642,4255900
108,2023-03-14,USD,0.93,1.06,-0.13,-12.2642,4255900
109,2023-03-13,USD,0.93,1.06,-0.13,-12.2642,4255900
110,2023-03-12,USD,0.93,1.06,-0.13,-12.2642,4255900
111,2023-03-11,USD,0.93,1.06,-0.13,-12.2642,4255900
112,2023-03-10,USD,0.93,1.06,-0.13,-12.2642,4255900
113,2023-03-09,USD,0.93,1.06,-0.13,-12.2642,4255900
114,2023-03-08,USD,0.93,1.06,-0.13,-12.2642,4255900
115,2023-03-07,USD,0.93,1.06,-0.13,-12.2642,4255900
116,2023-03-06,USD,0.93,1.06,-0.13,-12.2642,4255900
117,2023-03-05,USD,0.93,1.06,-0.13,-12.2642,4255900
118,2023-03-04,USD,0.93,1.06,-0.13,-12.2642,4255900
119,2023-03-03,USD,0.93,1.06,-0.13,-12.2642,4255900
120,2023-03-02,USD,0.93,1.06,-0.13,-12.2642,4255900
121,2023-03-01,USD,0.93,1.06,-0.13,-12.2642,4255900
122,2023-02-28,USD,0.93,1.06,-0.13,-12.2642,4255900
123,2023-02-27,USD,0.93,1.06,-0.13,-12.2642,4255900
124,2023-02-26,USD,0.93,1.06,-0.13,-12.2642,4255900
125,2023-02-25,USD,0.93,1.06,-0.13,-12.2642,4255900
126,2023-02-24,USD,0.93,1.06,-0.13,-12.2642,4255900
127,2023-02-23,USD,0.93,1.06,-0.13,-12.2642,4255900
128,2023-02-22,USD,0.93,1.06,-0.13,-12.2642,4255900
129,2023-02-21,USD,0.93,1.06,-0.13,-12.2642,4255900
130,2023-02-20,USD,0.93,1.06,-0.13,-12.2642,4255900
131,2023-02-19,USD,0.93,1.06,-0.13,-12.2642,4255900
132,2023-02-18,USD,0.93,1.06,-0.13,-12.2642,4255900
133,2023-02-17,USD,0.93,1.06,-0.13,-12.2642,4255900
