index,date,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
28,2023-06-02,USD,-0.46,-0.61,0.15,24.5902,95134700
29,2023-06-01,USD,-0.46,-0.61,0.15,24.5902,95134700
30,2023-05-31,USD,-0.46,-0.61,0.15,24.5902,95134700
31,2023-05-30,USD,-0.46,-0.61,0.15,24.5902,95134700
32,2023-05-29,USD,-0.46,-0.61,0.15,24.5902,95134700
33,2023-05-28,USD,-0.46,-0.61,0.15,24.5902,95134700
34,2023-05-27,USD,-0.46,-0.61,0.15,24.5902,95134700
35,2023-05-26,USD,-0.46,-0.61,0.15,24.5902,95134700
36,2023-05-25,USD,-0.46,-0.61,0.15,24.5902,95134700
37,2023-05-24,USD,-0.46,-0.61,0.15,24.5902,95134700
38,2023-05-23,USD,-0.46,-0.61,0.15,24.5902,95134700
39,2023-05-22,USD,-0.46,-0.61,0.15,24.5902,95134700
40,2023-05-21,USD,-0.46,-0.61,0.15,24.5902,95134700
41,2023-05-20,USD,-0.46,-0.61,0.15,24.5902,95134700
42,2023-05-19,USD,-0.46,-0.61,0.15,24.5902,95134700
43,2023-05-18,USD,-0.46,-0.61,0.15,24.5902,95134700
44,2023-05-17,USD,-0.46,-0.61,0.15,24.5902,95134700
45,2023-05-16,USD,-0.46,-0.61,0.15,24.5902,95134700
46,2023-05-15,USD,-0.46,-0.61,0.15,24.5902,95134700
47,2023-05-14,USD,-0.46,-0.61,0.15,24.5902,95134700
48,2023-05-13,USD,-0.46,-0.61,0.15,24.5902,95134700
49,2023-05-12,USD,-0.46,-0.61,0.15,24.5902,95134700
50,2023-05-11,USD,-0.46,-0.61,0.15,24.5902,95134700
51,2023-05-10,USD,-0.46,-0.61,0.15,24.5902,95134700
52,2023-05-09,USD,-0.46,-0.61,0.15,24.5902,95134700
53,2023-05-08,USD,-0.46,-0.61,0.15,24.5902,95134700
54,2023-05-07,USD,-0.46,-0.61,0.15,24.5902,95134700
55,2023-05-06,USD,-0.46,-0.61,0.15,24.5902,95134700
56,2023-05-05,USD,-0.46,-0.61,0.15,24.5902,95134700
