date,open,high,low,close,adjusted_close,volume
2023-06-02,32.04,32.69,30.98,31.93,31.93,158300
2023-06-01,32.65,32.69,31.2,32.07,32.07,191500
2023-05-31,31.08,33.27,31.08,32.0,32.0,135700
2023-05-30,32.7,34.9,30.61,31.67,31.67,120200
2023-05-26,29.36,36.0,28.85,32.0,32.0,155500
2023-05-25,27.96,29.86,26.595,29.1,29.1,320000
2023-05-24,27.0,29.9,25.433,26.96,26.96,65300
2023-05-23,24.46,26.805,24.14,26.59,26.59,27600
2023-05-22,23.81,25.135,23.73,24.46,24.46,137600
2023-05-19,22.83,24.74,22.1,24.24,24.24,119300
2023-05-18,23.65,23.85,21.79,22.52,22.52,78800
2023-05-17,24.75,25.2,23.0,23.22,23.22,19900
2023-05-16,25.31,25.7915,23.81,24.7,24.7,28926
2023-05-15,26.14,28.81,24.62,26.0,26.0,32210
2023-05-12,25.38,27.5,24.36,26.4,26.4,61700
2023-05-11,24.3,25.5,23.39,25.0,25.0,31400
2023-05-10,23.53,24.74,23.2,24.25,24.25,59300
2023-05-09,24.49,24.5,22.99,23.43,23.43,29300
2023-05-08,23.5,24.36,22.95,24.0,24.0,121100
2023-05-05,23.245,23.7,22.995,23.65,23.65,36500
2023-05-04,24.1,24.31,23.015,23.765,23.765,5300
2023-05-03,24.005,25.0,23.335,24.25,24.25,71700
2023-05-02,23.97,25.0,23.395,23.89,23.89,15700
2023-05-01,25.48,25.48,23.332,24.5,24.5,77900
2023-04-28,24.05,25.824,23.92,25.43,25.43,15600
2023-04-27,23.908,23.908,23.908,23.908,23.908,400
2023-04-26,23.8,23.8,23.6,23.6,23.6,1900
2023-04-25,24.242,24.242,23.6,23.6,23.6,900
2023-04-24,24.75,24.75,23.749,24.04,24.04,1600
2023-04-21,24.5,25.0,24.455,25.0,25.0,123800
2023-04-20,24.079,24.24,24.079,24.14,24.14,1300
2023-04-19,24.31,24.31,23.311,23.78,23.78,20400
2023-04-18,24.0,25.0,23.575,24.4,24.4,31300
2023-04-17,24.02,25.0,24.015,25.0,25.0,21200
2023-04-14,24.2,25.0,24.01,24.28,24.28,12400
2023-04-13,24.0,25.0,23.78,24.51,24.51,49100
2023-04-12,23.95,24.71,22.81,23.77,23.77,156000
2023-04-11,24.84,24.84,23.98,24.11,24.11,50200
2023-04-10,24.2,25.09,24.115,24.73,24.73,37700
2023-04-06,24.7,27.48,23.963,24.5,24.5,35000
2023-04-05,24.31,26.25,22.74,25.0,25.0,28500
2023-04-04,25.93,26.675,24.72,24.72,24.72,23500
2023-04-03,23.27,27.44,23.0,26.15,26.15,131700
2023-03-31,22.02,23.8,22.02,23.79,23.79,23100
2023-03-30,22.51,22.81,21.84,22.1,22.1,27700
2023-03-29,21.99,23.551,21.575,22.35,22.35,89700
2023-03-28,23.976,24.94,21.21,21.21,21.21,42400
2023-03-27,22.79,25.5,22.59,23.9,23.9,124900
2023-03-24,22.525,23.08,22.15,22.75,22.75,33700
2023-03-23,22.96,23.56,22.5,22.95,22.95,14000
2023-03-22,22.56,24.49,22.35,22.43,22.43,44300
2023-03-21,24.25,24.25,22.36,22.46,22.46,26900
2023-03-20,22.35,24.05,22.35,22.66,22.66,67500
2023-03-17,23.67,25.34,21.7,23.12,23.12,99000
2023-03-16,23.05,24.56,22.11,23.69,23.69,104700
2023-03-15,22.51,24.12,21.12,23.05,23.05,100600
2023-03-14,23.0,24.25,22.64,22.97,22.97,52300
2023-03-13,23.2,24.373,22.5,23.16,23.16,44200
2023-03-10,24.31,25.586,23.0,23.54,23.54,24400
2023-03-09,24.07,24.58,23.15,23.67,23.67,55400
2023-03-08,25.5,26.65,24.02,24.555,24.555,40900
2023-03-07,26.47,27.49,25.0,25.92,25.92,55900
2023-03-06,27.4,27.733,25.6,26.0,26.0,31700
2023-03-03,24.03,28.0,23.99,26.55,26.55,142100
2023-03-02,22.88,23.072,22.5,22.83,22.83,34700
2023-03-01,27.0,30.0,22.6,22.93,22.93,73400
2023-02-28,24.2,27.89,24.2,25.56,25.56,60400
2023-02-27,24.44,24.6,23.105,24.0,24.0,8600
2023-02-24,24.0,26.56,23.98,24.3,24.3,27500
2023-02-23,23.5,24.31,22.57,24.31,24.31,19300
2023-02-22,21.99,23.87,20.942,23.47,23.47,81700
2023-02-21,22.0,22.0,20.8,21.5,21.5,24100
2023-02-17,21.64,22.65,21.25,22.135,22.135,49100
2023-02-16,22.72,23.25,21.595,21.8,21.8,67700
2023-02-15,23.31,24.0,22.8,23.12,23.12,48700
2023-02-14,23.52,25.53,22.8,23.55,23.55,179000
2023-02-13,22.96,26.51,22.65,23.7,23.7,147500
2023-02-10,23.01,23.978,22.51,23.0,23.0,15600
2023-02-09,23.6,23.725,22.474,22.65,22.65,42700
2023-02-08,23.6,24.0,22.3,23.25,23.25,285600
2023-02-07,25.2,27.0,23.18,24.12,24.12,105700
2023-02-06,24.34,26.0,22.29,24.75,24.75,114400
2023-02-03,25.0,27.46,23.0,26.0,26.0,1782800
2023-02-02,15.0,15.0,15.0,15.0,15.0,0
