date,open,high,low,close,adjusted_close,volume
2023-06-02,23.38,23.87,22.53,23.2,23.2,305500
2023-06-01,23.32,23.48,22.76,23.1,23.1,191500
2023-05-31,23.26,23.64,22.89,23.35,23.35,461800
2023-05-30,22.7,23.63,22.62,23.36,23.36,225600
2023-05-26,22.48,22.79,22.26,22.5,22.5,172200
2023-05-25,22.56,22.6,22.05,22.4,22.4,247300
2023-05-24,22.47,22.76,21.65,22.58,22.58,203200
2023-05-23,22.2,23.29,22.05,22.26,22.26,234300
2023-05-22,21.4,22.45,21.17,22.23,22.23,500900
2023-05-19,22.4,24.0,21.26,21.4,21.4,554200
2023-05-18,21.88,22.09,21.48,21.75,21.75,361300
2023-05-17,20.35,22.05,20.03,21.92,21.92,419400
2023-05-16,19.15,20.49,18.49,20.24,20.24,408300
2023-05-15,18.9,20.0,18.58,19.46,19.46,267900
2023-05-12,18.44,18.95,18.17,18.8,18.8,277200
2023-05-11,18.1,19.54,16.28,18.25,18.25,886000
2023-05-10,19.41,19.52,18.43,18.61,18.61,376700
2023-05-09,19.06,19.06,18.42,18.8,18.8,182600
2023-05-08,19.24,19.66,18.81,19.16,19.16,177300
2023-05-05,18.51,19.67,18.17,19.34,19.34,245800
2023-05-04,17.69,17.98,17.16,17.9,17.9,180200
2023-05-03,17.28,18.38,17.25,17.7,17.7,203200
2023-05-02,17.94,18.37,17.18,17.19,17.19,191100
2023-05-01,17.77,18.27,17.53,18.1,18.1,139000
2023-04-28,17.58,18.11,17.39,17.56,17.56,299800
2023-04-27,18.16,18.16,17.45,17.62,17.62,211800
2023-04-26,18.13,18.29,17.89,17.98,17.98,209100
2023-04-25,19.06,19.27,18.0,18.14,18.14,275900
2023-04-24,19.69,19.94,19.15,19.35,19.35,160600
2023-04-21,19.25,19.86,19.25,19.72,19.72,139300
2023-04-20,19.52,19.62,19.03,19.22,19.22,192500
2023-04-19,19.5,19.91,19.26,19.79,19.79,177000
2023-04-18,20.51,20.81,19.45,19.7,19.7,164500
2023-04-17,19.89,20.57,19.67,20.43,20.43,138500
2023-04-14,21.44,21.56,19.81,19.89,19.89,180900
2023-04-13,20.14,21.58,19.97,21.37,21.37,323600
2023-04-12,19.76,20.11,19.4,19.94,19.94,244200
2023-04-11,19.71,20.1,19.31,19.42,19.42,194700
2023-04-10,19.97,19.97,19.04,19.62,19.62,269500
2023-04-06,19.71,20.21,19.71,20.13,20.13,281800
2023-04-05,20.0,20.15,19.44,19.77,19.77,284100
2023-04-04,20.24,20.56,19.81,20.21,20.21,242300
2023-04-03,21.57,21.78,19.85,20.13,20.13,296400
2023-03-31,21.06,22.1,21.0,21.75,21.75,405600
2023-03-30,21.21,21.31,20.55,20.78,20.78,225400
2023-03-29,20.98,21.12,19.97,20.84,20.84,285200
2023-03-28,21.57,21.84,20.4,20.59,20.59,247900
2023-03-27,21.9,22.22,21.27,21.8,21.8,244800
2023-03-24,21.52,21.8,21.22,21.53,21.53,303400
2023-03-23,21.05,22.46,21.05,21.52,21.52,419300
2023-03-22,21.98,22.0,20.92,20.96,20.96,422500
2023-03-21,21.21,22.07,20.68,22.05,22.05,341700
2023-03-20,21.5,21.61,20.34,20.76,20.76,602200
2023-03-17,18.91,21.65,18.36,21.52,21.52,744100
2023-03-16,21.08,21.58,19.2,19.98,19.98,520800
2023-03-15,21.21,22.12,20.7,21.48,21.48,223600
2023-03-14,21.68,22.06,20.67,21.57,21.57,294100
2023-03-13,19.3,21.18,19.04,20.77,20.77,389900
2023-03-10,22.39,22.58,17.57,19.5,19.5,1230800
2023-03-09,22.66,23.3,22.3,22.5,22.5,235000
2023-03-08,22.66,23.17,22.26,22.64,22.64,222400
2023-03-07,22.89,23.43,22.49,22.7,22.7,217700
2023-03-06,23.98,24.07,22.23,22.76,22.76,248700
2023-03-03,23.58,24.14,23.0,23.93,23.93,179900
2023-03-02,22.14,23.45,22.02,23.29,23.29,159600
2023-03-01,23.3,23.69,22.26,22.8,22.8,218700
2023-02-28,23.16,24.26,22.76,23.26,23.26,249200
2023-02-27,23.0,23.72,22.65,23.25,23.25,211500
2023-02-24,22.15,23.94,21.91,22.73,22.73,255800
2023-02-23,22.68,22.92,22.25,22.77,22.77,248600
2023-02-22,21.24,22.72,20.74,22.44,22.44,417400
2023-02-21,23.03,23.03,21.08,21.18,21.18,311800
2023-02-17,22.81,23.65,22.57,23.63,23.63,149800
2023-02-16,22.96,23.62,22.62,22.75,22.75,166500
2023-02-15,22.32,23.67,22.28,23.66,23.66,199594
2023-02-14,22.55,23.065,22.09,22.57,22.57,181243
2023-02-13,23.09,23.64,22.57,22.86,22.86,232339
2023-02-10,22.94,23.4,22.65,22.98,22.98,145300
2023-02-09,25.13,25.13,23.04,23.18,23.18,221700
2023-02-08,24.34,25.54,24.13,24.85,24.85,278900
2023-02-07,25.82,26.04,23.75,24.43,24.43,266100
2023-02-06,25.86,26.89,25.48,26.02,26.02,381500
2023-02-03,24.68,26.62,24.53,26.07,26.07,447300
2023-02-02,23.99,25.48,23.74,25.27,25.27,470800
2023-02-01,23.51,23.66,22.57,23.52,23.52,434500
2023-01-31,23.21,23.84,22.95,23.44,23.44,313000
2023-01-30,23.0,23.46,21.83,23.12,23.12,415300
2023-01-27,23.73,24.15,23.37,23.5,23.5,279200
2023-01-26,24.63,24.63,23.24,23.8,23.8,218600
2023-01-25,24.47,24.82,23.98,24.15,24.15,198400
2023-01-24,25.05,25.38,24.29,25.0,25.0,179600
2023-01-23,24.45,25.44,24.32,25.18,25.18,411700
2023-01-20,24.08,24.51,23.25,24.45,24.45,280900
2023-01-19,23.66,23.91,22.69,23.88,23.88,376400
2023-01-18,25.05,25.35,23.88,23.99,23.99,340400
2023-01-17,23.54,24.98,23.41,24.95,24.95,641000
2023-01-13,23.12,24.28,23.12,23.54,23.54,245500
2023-01-12,22.5,23.61,21.16,23.47,23.47,484600
2023-01-11,20.99,22.45,20.55,22.34,22.34,347800
2023-01-10,20.06,21.0,19.93,20.81,20.81,328000
2023-01-09,18.87,20.7,18.87,20.23,20.23,451000
2023-01-06,18.33,19.07,17.61,18.56,18.56,280800
2023-01-05,18.5,18.95,17.75,18.16,18.16,215700
2023-01-04,18.0,18.94,17.68,18.66,18.66,302100
2023-01-03,18.66,18.94,17.29,17.67,17.67,330200
2022-12-30,17.77,18.27,17.63,18.2,18.2,188900
2022-12-29,17.27,18.49,17.01,18.14,18.14,249800
2022-12-28,17.12,17.84,16.77,16.95,16.95,274400
2022-12-27,17.56,17.72,16.83,17.16,17.16,205000
2022-12-23,18.04,18.04,17.02,17.66,17.66,252900
2022-12-22,17.73,18.16,17.05,18.09,18.09,239500
