date,open,high,low,close,adjusted_close,volume,index,currency,epsActual,epsEstimate,epsDifference,surprisePercent,outstandingShares
2023-06-02,1.33,1.33,1.24,1.29,1.29,807200,28,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-06-01,1.2,1.31,1.17,1.29,1.29,1259200,29,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-31,1.23,1.25,1.17,1.19,1.19,4006400,30,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-30,1.23,1.25,1.13,1.23,1.23,1013700,31,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-26,1.19,1.23,1.12,1.22,1.22,997400,35,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-25,1.32,1.32,1.2,1.2,1.2,676900,36,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-24,1.43,1.43,1.26,1.32,1.32,1397200,37,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-23,1.27,1.45,1.27,1.4,1.4,1396200,38,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-22,1.3,1.35,1.27,1.31,1.31,949100,39,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-19,1.25,1.31,1.25,1.29,1.29,872200,42,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-18,1.24,1.28,1.2,1.25,1.25,621000,43,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-17,1.23,1.24,1.17,1.23,1.23,691800,44,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-16,1.16,1.25,1.15,1.22,1.22,595900,45,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-15,1.07,1.25,1.07,1.21,1.21,1492000,46,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-12,1.13,1.15,1.05,1.06,1.06,910900,49,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-11,1.21,1.21,1.12,1.14,1.14,727400,50,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-10,1.27,1.27,1.12,1.21,1.21,1805700,51,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-09,1.26,1.27,1.21,1.26,1.26,722300,52,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-08,1.2,1.28,1.19,1.25,1.25,625200,53,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-05,1.21,1.25,1.2,1.22,1.22,655500,56,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-04,1.23,1.23,1.16,1.2,1.2,753800,57,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-03,1.12,1.23,1.12,1.23,1.23,1112200,58,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-02,1.16,1.2,1.12,1.13,1.13,583900,59,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-05-01,1.21,1.22,1.14,1.18,1.18,984300,60,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-28,1.15,1.25,1.15,1.21,1.21,1185900,63,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-27,1.16,1.21,1.1,1.17,1.17,986800,64,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-26,1.13,1.16,1.09,1.13,1.13,999100,65,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-25,1.15,1.2,1.12,1.13,1.13,842600,66,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-24,1.22,1.24,1.14,1.16,1.16,1356500,67,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-21,1.15,1.26,1.15,1.22,1.22,1925500,70,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-20,1.13,1.31,1.13,1.16,1.16,2956400,71,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-19,1.12,1.17,1.09,1.16,1.16,935500,72,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-18,1.18,1.18,1.1,1.13,1.13,1057500,73,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-17,1.06,1.17,1.05,1.16,1.16,1988700,74,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-14,1.1,1.12,1.02,1.05,1.05,1117800,77,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-13,1.0,1.13,0.98,1.11,1.11,1202200,78,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-12,1.02,1.04,0.96,0.96,0.96,1084600,79,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-11,1.01,1.05,0.99,1.01,1.01,952600,80,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-10,1.0,1.03,0.97,1.03,1.03,542900,81,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-06,0.99,1.02,0.96,1.01,1.01,514400,85,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-05,1.03,1.03,0.96,0.98,0.98,2336400,86,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-04,1.13,1.14,1.01,1.03,1.03,1516700,87,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-04-03,1.06,1.13,1.05,1.12,1.12,1600800,88,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-03-31,1.04,1.08,1.02,1.06,1.06,1555800,91,USD,-0.1,-0.09,-0.01,-11.1111,229770400
2023-03-30,1.01,1.06,0.97,1.01,1.01,1439500,92,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-29,0.92,1.08,0.86,1.02,1.02,2466500,93,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-28,0.89,0.94,0.87,0.88,0.88,1474100,94,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-27,0.82,0.9,0.81,0.88,0.88,4061400,95,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-24,0.97,0.97,0.91,0.96,0.96,1809200,98,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-23,1.02,1.02,0.9,0.94,0.94,3956400,99,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-22,1.07,1.09,1.01,1.01,1.01,1053700,100,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-21,1.01,1.09,1.01,1.09,1.09,1272000,101,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-20,1.03,1.06,1.0,1.02,1.02,1444200,102,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-17,1.08,1.08,1.0,1.02,1.02,4989000,105,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-16,1.1,1.11,1.05,1.08,1.08,1045100,106,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-15,1.1,1.12,1.05,1.1,1.1,1142700,107,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-14,1.12,1.14,1.05,1.1,1.1,1377600,108,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-13,1.11,1.12,1.05,1.09,1.09,1533900,109,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-10,1.16,1.17,1.06,1.09,1.09,2493400,112,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-09,1.3,1.31,1.16,1.17,1.17,1532600,113,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-08,1.34,1.36,1.22,1.28,1.28,1183400,114,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-07,1.18,1.4,1.18,1.35,1.35,2970300,115,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-06,1.18,1.19,1.13,1.15,1.15,1322800,116,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-03,1.18,1.18,1.11,1.16,1.16,1150100,119,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-02,1.16,1.16,1.11,1.13,1.13,1424700,120,USD,-0.11,-0.1,-0.01,-10,200360800
2023-03-01,1.25,1.27,1.14,1.15,1.15,3470100,121,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-28,1.25,1.32,1.22,1.26,1.26,1801800,122,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-27,1.22,1.27,1.2,1.26,1.26,1560200,123,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-24,1.21,1.25,1.18,1.2,1.2,2215800,126,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-23,1.29,1.3,1.18,1.2,1.2,3174900,127,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-22,1.31,1.33,1.27,1.28,1.28,1402300,128,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-21,1.42,1.42,1.29,1.3,1.3,1928700,129,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-17,1.41,1.45,1.36,1.39,1.39,2984300,133,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-16,1.51,1.53,1.36,1.38,1.38,4793900,134,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-15,1.57,1.59,1.49,1.51,1.51,2513800,135,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-14,1.59,1.62,1.53,1.6,1.6,2073200,136,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-13,1.7,1.73,1.58,1.59,1.59,2509000,137,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-10,1.74,1.74,1.65,1.68,1.68,1710700,140,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-09,1.84,1.92,1.73,1.74,1.74,2321200,141,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-08,1.89,1.89,1.78,1.81,1.81,1932000,142,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-07,1.96,2.01,1.84,1.87,1.87,2349600,143,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-06,1.87,1.93,1.84,1.93,1.93,2962400,144,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-03,1.8,1.88,1.76,1.83,1.83,2641900,147,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-02,1.73,1.82,1.71,1.82,1.82,5245200,148,USD,-0.11,-0.1,-0.01,-10,200360800
2023-02-01,1.65,1.73,1.56,1.69,1.69,5893200,149,USD,-0.11,-0.1,-0.01,-10,200360800
